module,RCC_TvB,RCC_TvB_SD,RCC_p,PCa_TvB,PCa_TvB_ci,PCa_TvB_SD,PCa_p,PCa_gradient_slope,PCa_gradient_p,interaction_RCCvsPCa,interaction_p,PCa_TvB_FDR
CLEC_LAM8,0.17446288684297273,1.3722039441388534,8.870023875552746e-08,0.068121768530135,"[0.028,0.108]",1.0254006522475398,0.0008839793980109108,0.021011290303158556,0.027446142574238473,0.10634111831285453,0.012352466889368037,0.0009821993311232343
complement_C1Q,0.31429948869111646,1.414983192283399,1.3277390277428414e-45,0.10421263285650573,"[0.039,0.169]",1.000084207508535,0.001647754939052885,0.0323228817717098,0.032878810400634416,0.2100868558346461,0.0029981531919836555,0.001647754939052885
RCC_skew_CORE,0.2216274264131702,1.3683806892771053,0.0,0.08398328869899346,"[0.081,0.087]",1.0279255996833871,0.0,0.02591352009451328,0.026972783935289582,0.13764413771412898,0.010482173818670667,0.0
APOE_TREM2,0.10709718218152528,1.2729746724037514,6.223564789409728e-123,0.05743274455182183,"[0.025,0.089]",0.9150070458685048,0.0004319775945116019,0.01774207339445982,0.03339000065242018,0.04966443762970364,0.13211273924596417,0.0005399719931395024
MERTK_GPNMB,0.03202456796709066,1.2057052793344283,3.4592632302820875e-30,0.019956000442155192,"[0.015,0.025]",0.9612779362202523,5.820655353066083e-15,0.006125445483179956,0.041352283535997125,0.012068567524944503,0.26782056736168636,1.1641310706132167e-14
SPP1_TAM,0.1334797604404197,1.3349235736775547,5.072138874127156e-11,0.11327982463954483,"[0.063,0.163]",1.1705138178884749,9.491556809855767e-06,0.034689753492375436,0.006954356855845314,0.02019993580086952,0.6262965608239283,1.5819261349759612e-05
panTAM,0.03260128043867401,1.1419306494447456,4.0066006052308053e-07,0.03447973948421331,"[0.029,0.040]",1.0000268487422317,5.155769102525817e-31,0.010234380898657457,0.03497508836521773,-0.0018784590455393263,0.8926897879468251,1.718589700841939e-30
ATF3_IEG,0.1513372146465079,1.3564091198136308,7.583634473148094e-07,0.10599438269151643,"[0.057,0.155]",1.4322481030786662,2.2553688641988034e-05,0.03160243466645314,0.00031402444496568413,0.045342831954978145,0.20982970298896209,3.221955520284005e-05
NFkB,0.1858804214675225,1.5518571353367112,1.2379406661386662e-25,0.09540424423000685,"[0.080,0.111]",1.5434545727780589,2.0825208338654954e-34,0.03098094020285646,8.119655202162448e-06,0.09047617723751655,0.00558491111911236,1.0412604169327476e-33
ATF3_NFkB,0.20095946850077992,1.5429538223236234,3.394544637443635e-08,0.12242135085773866,"[0.098,0.147]",1.5203497739996399,4.6077765115234575e-23,0.03778666476375272,1.5466401011364096e-05,0.07853811764304781,0.03325663980410098,1.1519441278808643e-22
