dropped_patient,interaction_est,p
BMET1,0.12718304681084294,0.011298563936911296
BMET2,0.09536901584599579,0.07912152017889314
BMET3,0.09931682282454456,0.07200676552795297
BMET5,0.10814706583919512,0.052493268112666504
BMET6,0.12352397084920863,0.017671218189119403
BMET7,0.09587999171487296,0.07828148110883296
BMET8,0.0949679143052043,0.07976203955860167
BMM2,0.10634770003747211,0.04339857338473872
BMM3,0.10637623203567326,0.043342315374519796
BMM4,0.10640567985453578,0.04328422759354848
BMM5,0.10649851547273556,0.04310094554028558
BMM6,0.10589998598434265,0.0442782340210076
BMM8,0.10645693195184261,0.04318307179963059
BMM9,0.10640278285326199,0.04328994319758398
BM10,0.09103393439110019,0.09217180058285988
BM3,0.08358038312157477,0.0977364299347329
BM4,0.12350065570989567,0.02053979031681759
BM5,0.10787756910716023,0.05761013897653734
BM7,0.0909125914717048,0.0923315765157989
BM8,0.12812780287152262,0.01205757533652524
BM1,0.10585083234936071,0.06257841794132024
BM2,0.11865978723509542,0.031139659327561194
BM9,0.1075265085581257,0.05847705392925668
