cancer,gene,delta,tumor_mean,benign_mean,p
RCC,C1QA,1.302679181098938,1.3399443626403809,0.037265192717313766,0.0012237763
RCC,C1QB,1.1718008518218994,1.1878806352615356,0.016079803928732872,0.0014479494
RCC,C1QC,1.1621373891830444,1.1740859746932983,0.011948575265705585,0.0030168497
RCC,APOE,0.42432332038879395,0.42432332038879395,0.0,0.00061374455
RCC,APOC1,0.7539346814155579,0.7700397372245789,0.01610504277050495,0.0012237763
RCC,TREM2,0.33191922307014465,0.3351329267024994,0.0032137036323547363,0.0018341616
RCC,GPNMB,0.2346472442150116,0.23670262098312378,0.002055375138297677,0.003974754
RCC,MERTK,0.12419598549604416,0.12572059035301208,0.0015246047405526042,0.0011119373
prostate,C1QA,0.39892885088920593,0.44424155354499817,0.045312706381082535,0.006993007
prostate,C1QB,0.3625602126121521,0.3849589228630066,0.02239871956408024,0.010263767
prostate,C1QC,0.4034096300601959,0.42151036858558655,0.018100732937455177,0.010517953
prostate,APOE,0.25405001640319824,0.25614437460899353,0.0020943486597388983,0.0140470285
prostate,APOC1,0.45535171031951904,0.4851798117160797,0.029828106984496117,0.026223777
prostate,TREM2,0.1780976504087448,0.18279102444648743,0.004693380557000637,0.03926606
prostate,GPNMB,0.24985837936401367,0.2550152540206909,0.005156877916306257,0.03926606
prostate,MERTK,0.14208148419857025,0.14464569091796875,0.002564207185059786,0.0052246256
