Sample,cancer_type,dataset,patient_id,condition,CLEC_LAM8,RCC_skew_CORE,complement_C1Q,complement_C1Q_C3,APOE_TREM2,MERTK_GPNMB_support,SPP1_TAM,inflammatory_mono,panTAM,n_cells
GSM4274678_BMET1-Tumor.count,prostate,prostate_kfoury,BMET1,Tumor,0.20783783783783782,0.2599370985603544,0.38915451895043734,0.29596232922138216,0.29876906751558563,0.0498080233019992,0.2816016994158258,0.17672437599575144,0.35608701419286376,175
GSM4274679_BMET1-Involved.count,prostate,prostate_kfoury,BMET1,Involved,0.012479030754892824,0.01511937984496124,0.022106782106782106,0.016595481275147015,0.21697926338594864,0.004448563484708063,0.08204956629491945,0.6664039653035936,0.2867997523986382,150
GSM4274680_BMET1-Distal.count,prostate,prostate_kfoury,BMET1,Distal,0.003375142383763073,0.004491817398794143,0.00895863395863396,0.00947204167956257,0.18279299494480553,0.0,0.06655824039653035,0.6195477075588599,0.2861278757866501,72
GSM4274686_BMET2-Tumor.count,prostate,prostate_kfoury,BMET2,Tumor,0.01025370505059444,0.012865916775929886,0.020439359990017048,0.01549804517990131,0.1947532573446958,0.0023320857041496277,0.05770796333270824,0.46846546722116206,0.2571187687526347,337
GSM4274687_BMET2-Involved.count,prostate,prostate_kfoury,BMET2,Involved,0.04225950088019054,0.05609646856158484,0.10237064522778808,0.07706592386258125,0.23220881048179096,0.0004324992276799506,0.03559686080132177,0.3526228831061545,0.26553182709171563,90
GSM4274688_BMET2-Distal.count,prostate,prostate_kfoury,BMET2,Distal,0.007481943150046598,0.009957364341085271,0.01985930735930736,0.014908310120705665,0.2220461931290622,0.0,0.032123605947955394,0.40293680297397766,0.2654654131847725,80
GSM4274689_BMET3-Tumor.count,prostate,prostate_kfoury,BMET3,Tumor,0.0308269912055153,0.03908693785824306,0.0625741561060314,0.04697419239714613,0.22667471169462766,0.00579617392144373,0.0929585992274439,0.5875034813460397,0.28247575149936943,307
GSM4274690_BMET3-Involved.count,prostate,prostate_kfoury,BMET3,Involved,0.01577612094853474,0.02067596899224806,0.032971895829038686,0.024751882802022077,0.22873413803775922,0.0009556173411595099,0.05654027261462206,0.5554101610904585,0.29035799030228,225
GSM4274691_BMET3-Distal.count,prostate,prostate_kfoury,BMET3,Distal,0.014840552696624659,0.019750589821368385,0.03686375736065177,0.027673489160712127,0.22354365992491218,0.0,0.0393373201874899,0.5306061095846129,0.2868838561220783,115
GSM4274692_BMET5-Tumor.count,prostate,prostate_kfoury,BMET5,Tumor,0.13100187835962362,0.1623251013991888,0.1995956277247741,0.1503502735209316,0.2961686947172946,0.035923642175274086,0.2902217823149608,0.30939726311185795,0.2810553337300321,323
GSM4274693_BMET5-Distal.count,prostate,prostate_kfoury,BMET5,Distal,0.029494620011861393,0.03639182522903453,0.0425591724293023,0.03194901662868237,0.2459694437410315,0.00855168927458084,0.07661372085163907,0.4596823251098344,0.27753861737148644,22
GSM4274694_BMET5-Involved.count,prostate,prostate_kfoury,BMET5,Involved,0.03331141722733598,0.04264627800785813,0.07656661668403351,0.057478281883975024,0.2153114307882118,0.00504018180202369,0.04010795946427662,0.3767123287671233,0.24281680467050787,73
GSM4274695_BMET6-Distal.count,prostate,prostate_kfoury,BMET6,Distal,0.11264341035446862,0.13549852980486501,0.17332011174375708,0.1334806134537188,0.28585150321775044,0.043079479722603946,0.08316882450967825,0.37379823099602616,0.25552300451445586,58
GSM4274696_BMET6-Involved.count,prostate,prostate_kfoury,BMET6,Involved,0.1450372786579683,0.18666666666666665,0.31185697419463654,0.23410990124082048,0.24478770996876847,0.018999073215940684,0.07259209192294694,0.34190604934099356,0.2646661602093357,22
GSM4274697_BMET6-Tumor.count,prostate,prostate_kfoury,BMET6,Tumor,0.18823720804200827,0.2260157770720213,0.19660054650614753,0.15139132604436373,0.41525447993488196,0.07322818893330013,0.35355616330674877,0.30294613759559796,0.33750547081753446,454
GSM4274698_BMET7-Tumor.count,prostate,prostate_kfoury,BMET7,Tumor,0.024733354043698873,0.03291645133505598,0.06000824572253143,0.0450479727638502,0.20298153306509853,0.0,0.07248244527054935,0.49164394878149525,0.3216548024347467,90
GSM4274699_BMET7-Distal.count,prostate,prostate_kfoury,BMET7,Distal,0.030975402742644122,0.04122369878183831,0.08111361427687958,0.06089169651147367,0.19721614272449925,0.0,0.039803505045140734,0.2633430695698354,0.26426747579254545,56
GSM4274700_BMET8-Involved.count,prostate,prostate_kfoury,BMET8,Involved,0.006904159613519219,0.009188419553868059,0.018325697625989172,0.01375703484736513,0.22172322968184485,0.0,0.047136029132842726,0.4727790000758668,0.31491482386826597,49
GSM4274701_BMET8-Tumor.count,prostate,prostate_kfoury,BMET8,Tumor,0.004635960154614762,0.006169780149955522,0.011889554629601468,0.008925445606344277,0.1987800051752744,0.0,0.07267810347979767,0.5834435370833079,0.2885653073960759,244
GSM4274702_BMET8-Distal.count,prostate,prostate_kfoury,BMET8,Distal,0.022687558247903077,0.030193798449612404,0.0602195423623995,0.045206592386258126,0.217574860724234,0.0,0.028856877323420075,0.4914846654275093,0.31839020427112347,32
GSM4274704_BMM3-Benign.count,prostate,prostate_kfoury,BMM3,Benign,0.0038184736460598525,0.0050818260120585705,0.01013536727822442,0.007608583513875993,0.23406066233364284,0.0,0.029182156133829,0.2952085914911194,0.23651088414319613,18
GSM4274705_BMM4-Benign.count,prostate,prostate_kfoury,BMM4,Benign,0.01028491545732925,0.013687707641196012,0.027299231380864035,0.020493434142459212,0.20514988725295133,0.0,0.041356877323420076,0.43863515666489644,0.3325540522615732,28
GSM4274706_BMM5-Benign.count,prostate,prostate_kfoury,BMM5,Benign,0.009758764069108897,0.012987477638640428,0.025902668759811617,0.01944503964002571,0.21698450110706377,0.0,0.02231913068344295,0.3950386045181584,0.26115991714877507,26
GSM4274707_BMM6-Benign.count,prostate,prostate_kfoury,BMM6,Benign,0.0357364753916478,0.04519748984865264,0.06199016403098036,0.046535791661139844,0.23327585444577087,0.0070612118804889885,0.04303416533899805,0.39943352805806337,0.3024273776362913,21
GSM4274708_BMM8-Benign.count,prostate,prostate_kfoury,BMM8,Benign,0.08101835257007671,0.10782349433512224,0.2047952047952048,0.15373901864152562,0.18543318334404685,0.0,0.03633114097798113,0.26993136974549614,0.2569816441682737,26
GSM6133738_RCC-BM10-Tumor.count,RCC,rcc_bm,BM10,Tumor,0.318779485311757,0.40364561381508,0.530915449214044,0.4069662553215314,0.4436594717557062,0.06244519362881242,0.31048503092913565,0.2969465933961959,0.303992609874582,1493
GSM6133741_RCC-BM3-Tumor.count,RCC,rcc_bm,BM3,Tumor,0.4425625203842229,0.5628929495868665,0.7774095206130782,0.6562339297895786,0.4842787427192108,0.07917990000314457,0.20680696448448954,0.15939344296725685,0.24304076617730452,118
GSM6133742_RCC-BM4-Tumor.count,RCC,rcc_bm,BM4,Tumor,0.08862781611713587,0.11802389895821935,0.21670549407881964,0.16262975778546712,0.23327262793662357,0.0,0.10645090750054668,0.6872075224141702,0.26450907500546683,17
GSM6133743_RCC-BM5-Tumor.count,RCC,rcc_bm,BM5,Tumor,0.18761429026792156,0.22256664600123993,0.34484546427615737,0.2681198226089867,0.3052296878922266,0.08162429591001019,0.3604775779496969,0.37430255534344753,0.327931277001909,74
GSM6133744_RCC-BM7-Tumor.count,RCC,rcc_bm,BM7,Tumor,0.34057744723135436,0.4417366782410065,0.5815295264094311,0.4613245168112729,0.4586260495101224,0.03532299564045596,0.2564397937797359,0.22796926073808904,0.29651582602842413,972
GSM6133745_RCC-BM8-Tumor.count,RCC,rcc_bm,BM8,Tumor,0.1031967721911856,0.12560704691051872,0.05040738448844884,0.06166795665634675,0.3566756965944272,0.03536641929499072,0.21336741016109045,0.3312267657992565,0.2548482032218092,16
GSM6133746_RCC-BM1-Tumor.count,RCC,rcc_bm,BM1,Tumor,0.19076136120485654,0.24192002973564475,0.3576327875961658,0.27006968585889535,0.3250010566468369,0.036249343050903264,0.3483461689736986,0.46881108559490126,0.3234503131727081,1172
GSM6133749_RCC-BM2-Tumor.count,RCC,rcc_bm,BM2,Tumor,0.12313246461291154,0.159090528278377,0.255992491141006,0.19925415142133407,0.2748841861844958,0.014611339286663961,0.18394027687707984,0.5539898127258722,0.3245362293689431,814
GSM6133752_RCC-BM9-Involve.count,RCC,rcc_bm,BM9,Involved,0.05602757086695634,0.07461080112971,0.14894458195819582,0.11177760577915376,0.23436532507739938,0.0,0.07063713341594383,0.5683085501858737,0.2654946303180504,48
GSM6133753_RCC-BM9-Noninvolved.count,RCC,rcc_bm,BM9,Distal,0.04189944134078213,0.05579665220086795,0.11138613861386139,0.08359133126934985,0.23209494324045407,0.0,0.08963238331268071,0.575365551425031,0.2816522098306485,15
GSM6133754_RCC-BM9-Tumor.count,RCC,rcc_bm,BM9,Tumor,0.21038655630945555,0.27328543101716085,0.3860447571573767,0.3023731346481408,0.34945070543241885,0.02059540393697586,0.1685500572413527,0.3979026511107395,0.26162771253264044,1156
