outcome,module,coef,ci_low,ci_high,p,n,note,fdr
CD8_exhaustion,complement_C1Q,0.5088318016571263,0.0015530271434592846,1.0161105761707931,0.049381808483350484,24,adj z,0.11836928834288857
CD8_exhaustion,complement_C1Q_C3,0.4771644673128659,-0.0060633748226405215,0.9603923094483723,0.05260857259683936,24,adj z,0.11836928834288857
CD8_exhaustion,CLEC_LAM8,0.43955798209501173,-0.042745901792894725,0.9218618659829182,0.071262903583607,24,adj z,0.12827322645049258
CD8_exhaustion,RCC_skew_CORE,0.4099536878624176,-0.07287340586331664,0.8927807815881519,0.09075198120320875,24,adj z,0.13612797180481315
CD8_exhaustion,APOE_TREM2,0.2568128567640307,-0.17175179820910813,0.6853775117371695,0.22212940510964624,24,adj z,0.285594949426688
CD8_exhaustion,MERTK_GPNMB,0.3508592294534545,0.029200409834714613,0.6725180490721944,0.03439926457672595,24,adj z,0.11836928834288857
CD8_exhaustion,panTAM,0.17559699114142013,-0.24097994237837128,0.5921739246612115,0.3847854834701969,24,adj z,0.43288366890397156
CD8_exhaustion,SPP1_TAM,0.5115687975048415,0.02572113476677107,0.997416460242912,0.04025206023754373,24,adj z,0.11836928834288857
CD8_exhaustion,inflammatory_mono,-0.09727774811976271,-0.3714809731173267,0.1769254768778013,0.4629308538131404,24,adj z,0.4629308538131404
cytotoxicity,complement_C1Q,-0.8174293632171539,-1.5861748479081772,-0.04868387852613065,0.03855916546185146,24,adj z,0.08675812228916578
cytotoxicity,complement_C1Q_C3,-0.7933329825176344,-1.5178881651313996,-0.06877779990386923,0.03380907416114097,24,adj z,0.08675812228916578
cytotoxicity,CLEC_LAM8,-0.768130909648243,-1.4830327744266587,-0.05322904486982738,0.03681943677477308,24,adj z,0.08675812228916578
cytotoxicity,RCC_skew_CORE,-0.7799867097813709,-1.4803124692190355,-0.07966095034370624,0.031245241747960565,24,adj z,0.08675812228916578
cytotoxicity,APOE_TREM2,-0.5534398839491383,-1.1787180078211925,0.07183823992291571,0.0789698226097402,24,adj z,0.1184547339146103
cytotoxicity,MERTK_GPNMB,-0.06253377384940811,-0.6322369201746634,0.5071693724758473,0.818950616827812,24,adj z,0.818950616827812
cytotoxicity,panTAM,-0.09036340436221046,-0.744227350929824,0.563500542205403,0.7733113602895662,24,adj z,0.818950616827812
cytotoxicity,SPP1_TAM,0.6105685140573445,-0.18036631993306884,1.4015033480477577,0.1212550913020177,24,adj z,0.15589940310259418
cytotoxicity,inflammatory_mono,0.35924255402528105,-0.024685991684386233,0.7431710997349483,0.06473242478551089,24,adj z,0.1165183646139196
Treg_fraction,complement_C1Q,0.1539444602945539,-0.585793993995318,0.8936829145844257,0.6649959718282815,24,adj z,0.8517842684640932
Treg_fraction,complement_C1Q_C3,0.10863589058160086,-0.5955375226563665,0.8128093038195682,0.7478719982266047,24,adj z,0.8517842684640932
Treg_fraction,CLEC_LAM8,0.1593535183612789,-0.5293380938579437,0.8480451305805015,0.6304276144841869,24,adj z,0.8517842684640932
Treg_fraction,RCC_skew_CORE,0.08774827931147078,-0.5965465310876416,0.7720430897105831,0.7892222621152855,24,adj z,0.8517842684640932
Treg_fraction,APOE_TREM2,0.13220449559421354,-0.44606367753575493,0.710472668724182,0.6344886504140196,24,adj z,0.8517842684640932
Treg_fraction,MERTK_GPNMB,0.6542694293014453,0.32047977100709835,0.9880590875957922,0.0007450514393646425,24,adj z,0.0033527314771408913
Treg_fraction,panTAM,0.3474511357518461,-0.17393250174885516,0.8688347732525474,0.17689783447235735,24,adj z,0.5306935034170721
Treg_fraction,SPP1_TAM,1.211294321058157,0.8836363204212982,1.5389523216950158,7.236555394333806e-07,24,adj z,6.512899854900426e-06
Treg_fraction,inflammatory_mono,0.03233870593813015,-0.32868794394387074,0.39336535582013105,0.8517842684640932,24,adj z,0.8517842684640932
MHC_I_APM,complement_C1Q,-1.1749144100869087,-3.436409803962421,1.0865809837886036,0.22264239703421165,9,adj z,0.40075631466158096
MHC_I_APM,complement_C1Q_C3,-1.1196486089785262,-3.2674876718874986,1.0281904539304463,0.22135920233769807,9,adj z,0.40075631466158096
MHC_I_APM,CLEC_LAM8,-1.1771231382785,-3.2256024326394135,0.8713561560824139,0.18584569403076823,9,adj z,0.40075631466158096
MHC_I_APM,RCC_skew_CORE,-1.1507789629493357,-3.159641836621061,0.8580839107223897,0.18693215153034304,9,adj z,0.40075631466158096
MHC_I_APM,APOE_TREM2,-1.1005965684823018,-2.5605758656147986,0.35938272865019494,0.10447519206713203,9,adj z,0.40075631466158096
MHC_I_APM,MERTK_GPNMB,-0.2707855744673503,-2.1770262754529,1.6354551265181994,0.7134101156619279,9,adj z,0.802586380119669
MHC_I_APM,panTAM,0.9060245327216268,-2.335726534659024,4.147775600102277,0.48108737096484694,9,adj z,0.7032379279610262
MHC_I_APM,SPP1_TAM,0.24157331261578668,-2.3409370116381822,2.824083636869756,0.807903826696057,9,adj z,0.807903826696057
MHC_I_APM,inflammatory_mono,0.6163217837537158,-1.9875488697299408,3.2201924372373725,0.5469628328585759,9,adj z,0.7032379279610262
MHC_II_APC,complement_C1Q,1.19149422090939,0.29853376668786413,2.0844546751309156,0.012104257619735232,24,adj z,0.04087687119906577
MHC_II_APC,complement_C1Q_C3,1.1156792430378386,0.26222059417532995,1.9691378919003473,0.013625623733021924,24,adj z,0.04087687119906577
MHC_II_APC,CLEC_LAM8,0.9754883875909806,0.09662049285932361,1.8543562823226374,0.03174908813236357,24,adj z,0.06544516404000882
MHC_II_APC,RCC_skew_CORE,0.9430919934129672,0.06782220839760822,1.8183617784283261,0.03635842446667157,24,adj z,0.06544516404000882
MHC_II_APC,APOE_TREM2,0.1277377159827009,-0.7255905555942039,0.9810659875596057,0.7550921054417108,24,adj z,0.8494786186219246
MHC_II_APC,MERTK_GPNMB,0.49028787527406087,-0.16754760471478852,1.1481233552629102,0.1336766218509941,24,adj z,0.20051493277649116
MHC_II_APC,panTAM,-0.23496757870503415,-1.037950520534768,0.5680153631246997,0.543780072012384,24,adj z,0.6991458068730652
MHC_II_APC,SPP1_TAM,0.09157124129714064,-0.9664831530509438,1.149625635645225,0.8567333291497535,24,adj z,0.8567333291497535
MHC_II_APC,inflammatory_mono,-0.6352730361838704,-1.0460786045809387,-0.2244674677868021,0.0047312536218606155,24,adj z,0.04087687119906577
