module,model,HR,ci_low,ci_high,p,n,events,verdict
complement_C1Q,unadjusted,1.2567034380244648,1.0907494539918057,1.447906781307795,0.0015664530329547466,532,175,survives
complement_C1Q,molecular (panTAM+Obradovic+imm),1.6127437581540716,1.1461682446308483,2.269250122439587,0.0060896782892591065,532,175,survives
complement_C1Q,clinical (stage+grade+age),1.0924582355311145,0.9493297902869912,1.2571658538377488,0.21712198425094675,521,173,collapses
complement_C1Q,full (molecular+clinical),1.7030255863457893,1.1766739181495351,2.4648257287027255,0.004765977288274644,521,173,survives
RCC_skew_CORE,unadjusted,1.2503715773819282,1.0862612851650004,1.4392753409112706,0.0018546411199601186,532,175,survives
RCC_skew_CORE,molecular (panTAM+Obradovic+imm),2.2367467955031963,1.3578889324917447,3.684422273044953,0.0015702567462203864,532,175,survives
RCC_skew_CORE,clinical (stage+grade+age),1.0717841579972278,0.9322821467780572,1.2321605485032374,0.3298607685011563,521,173,collapses
RCC_skew_CORE,full (molecular+clinical),2.191665971694222,1.2573273299147016,3.8203255565980943,0.005646237691107487,521,173,survives
CLEC_LAM8,unadjusted,1.1892397090312505,1.0337987172064924,1.368052660539567,0.015305413066024924,532,175,survives
CLEC_LAM8,molecular (panTAM+Obradovic+imm),1.5427942141060813,0.7051017254559943,3.3757029675964842,0.2777707330705237,532,175,collapses
CLEC_LAM8,clinical (stage+grade+age),1.0339958581087751,0.9008289725618891,1.186848410909263,0.6346083309445256,521,173,collapses
CLEC_LAM8,full (molecular+clinical),1.7938444437142882,0.7573388674408056,4.248927430752967,0.18410729256931063,521,173,collapses
APOE_TREM2,unadjusted,1.1651586152289504,1.0125301874648955,1.3407941960143415,0.03285991443686032,532,175,survives
APOE_TREM2,molecular (panTAM+Obradovic+imm),1.0084334909299337,0.7821476731909198,1.300186832341188,0.9483529500709261,532,175,collapses
APOE_TREM2,clinical (stage+grade+age),1.008684955931594,0.8739387623371025,1.1642066746208297,0.9059107247277994,521,173,collapses
APOE_TREM2,full (molecular+clinical),0.9191778170836031,0.7068721853855816,1.1952484153237857,0.5293909122487277,521,173,collapses
MERTK_GPNMB,unadjusted,0.9059034601724248,0.7753134996932693,1.0584893458930398,0.21340264341016707,532,175,collapses
MERTK_GPNMB,molecular (panTAM+Obradovic+imm),0.718268536728546,0.5833495515866158,0.8843920243891097,0.0018251780733863276,532,175,survives
MERTK_GPNMB,clinical (stage+grade+age),0.8736264485399009,0.743317335916304,1.0267797274600057,0.10115080440183193,521,173,collapses
MERTK_GPNMB,full (molecular+clinical),0.7596056939741584,0.6080712616540087,0.9489032728638886,0.015437151326182827,521,173,survives
panTAM,unadjusted,1.127646607189016,0.9736866879356044,1.3059507606095528,0.10872731572267937,532,175,collapses
panTAM,molecular (panTAM+Obradovic+imm),0.8967928733943636,0.6863999173596694,1.1716747590304613,0.4245608244863278,532,175,collapses
panTAM,clinical (stage+grade+age),0.9737888146969267,0.8378471537256424,1.1317871659672187,0.7291721822288424,521,173,collapses
panTAM,full (molecular+clinical),0.9030563269497545,0.6805763606952087,1.1982648483572624,0.4798150744681543,521,173,collapses
Obradovic_TREM2,unadjusted,1.1800047976933459,1.024271767511953,1.3594158959995593,0.02190222454087299,532,175,survives
Obradovic_TREM2,molecular (panTAM+Obradovic+imm),1.0689237776336065,0.8466340787624351,1.349577191672569,0.5752503593143906,532,175,collapses
Obradovic_TREM2,clinical (stage+grade+age),1.0181402422040216,0.8850150947171912,1.171290251412621,0.8014643406971433,521,173,collapses
Obradovic_TREM2,full (molecular+clinical),1.0476565112950913,0.8254311141909111,1.3297101923942563,0.7019112422931415,521,173,collapses
risk25,unadjusted,2.575860214330774,2.209969919941617,3.002328576466537,9.981675104575013e-34,532,175,survives
risk25,molecular (panTAM+Obradovic+imm),2.6330816423992887,2.2507381361776244,3.0803756439274133,1.1326118318460896e-33,532,175,survives
risk25,clinical (stage+grade+age),2.177542962635424,1.8394827554635855,2.5777318868792882,1.5603387026015388e-19,521,173,survives
risk25,full (molecular+clinical),2.23762653108688,1.8825594970774924,2.6596622844572972,6.467915169521959e-20,521,173,survives
